Cust Order No,Cust Order Date,FWD Seller Order NO,FWD PO NO,FWD PO Date,Seller Invoice No,Seller Invoice Date,Cust Invoice No,Cust Invoice Date,Status,JioCode,HSN,Seller Style Code,Seller SKU,EAN,Description,Order Qty,FWD Shipment ID,FWD Shipment Date,FWD Carrier,FWD AWB,Shipped QTY,Estimated Dispatch Date,SLA Status,Cancelled Qty,Customer Cancelled QTY,Seller Cancelled QTY,Listing MRP,Seller TD,Selling Price,Base Price,Total Price,CGST_PERCENTAGE,CGST_AMOUNT,SGST_PERCENTAGE,SGST_AMOUNT,IGST_PERCENTAGE,IGST_AMOUNT,Total Value,Invoice Value,Brand,Fulfillment Type,POB ID,Seller Name
FN6646605526,Tue Jul 29 23:52:18 IST 2025,1083649419,5119999866,Wed Jul 30 00:00:00 IST 2025,AJ2613534,Wed Jul 30 17:26:35 IST 2025,AF25GJ182869036,Wed Jul 30 17:26:38 IST 2025,Delivered,701884635004,62114210,ZX--Pink,ZX--Pink-3XL,100000000125970873,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158379,Wed Jul 30 17:23:24 IST 2025,DELHIVERY,195042382428295,1,Mon Aug 04 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN8919603222,Tue Jul 29 23:44:23 IST 2025,1083647413,5119999863,Wed Jul 30 00:00:00 IST 2025,AJ2613532,Wed Jul 30 17:26:29 IST 2025,AF25GJ182868979,Wed Jul 30 17:26:33 IST 2025,Shipped,701884635005,62114210,ZX--Pink,ZX--Pink-M,100000000125971914,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158378,Wed Jul 30 17:23:23 IST 2025,XPRESSBEES,13670526865926,1,Wed Aug 06 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN5828600714,Tue Jul 29 23:30:05 IST 2025,1083644011,5119999865,Wed Jul 30 00:00:00 IST 2025,AJ2613531,Wed Jul 30 17:26:28 IST 2025,AF25GJ182869013,Wed Jul 30 17:26:32 IST 2025,Delivered,701884646002,62114210,ZX--White,ZX--White-2XL,100000000125968993,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158377,Wed Jul 30 17:23:23 IST 2025,DELHIVERY,195042382416432,1,Tue Aug 05 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN7919603861,Tue Jul 29 23:20:05 IST 2025,1083641604,5119999864,Wed Jul 30 00:00:00 IST 2025,AJ2613528,Wed Jul 30 17:26:22 IST 2025,AF25GJ182868980,Wed Jul 30 17:26:26 IST 2025,Delivered,701995083006,,,VR-KKX-MUSTARD-S,,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158376,Wed Jul 30 17:23:23 IST 2025,XPRESSBEES,13670526864610,1,Tue Aug 05 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN3268602573,Tue Jul 29 23:07:18 IST 2025,1083637932,,,,,,,Cancelled,701877201005,62114210,BHKKX MUSTARD,BH-KKX-MUSTARD-L,100000000125935795,WOMEN EMBROIDERY STRAIGHT KURTA SET,1,NA,,,,0,Mon Aug 04 00:00:00 IST 2025,Within SLA,1,1,0,2632.0,1710,921.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN6919600492,Tue Jul 29 22:46:27 IST 2025,1083632264,,,,,,,Cancelled,701884635005,62114210,ZX--Pink,ZX--Pink-M,100000000125971914,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,NA,,,,0,Tue Aug 05 00:00:00 IST 2025,Within SLA,1,1,0,2632.0,1710,921.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN9458603185,Tue Jul 29 22:39:56 IST 2025,1083630446,5119999861,Wed Jul 30 00:00:00 IST 2025,AJ2613529,Wed Jul 30 17:26:22 IST 2025,AF25GJ182868968,Wed Jul 30 17:26:26 IST 2025,Delivered,701884635004,62114210,ZX--Pink,ZX--Pink-3XL,100000000125970873,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158375,Wed Jul 30 17:23:21 IST 2025,SHADOWFAX,SF1830435192AJI,1,Tue Aug 05 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN9458603185,Tue Jul 29 22:39:56 IST 2025,1083630446,5119999861,Wed Jul 30 00:00:00 IST 2025,AJ2613529,Wed Jul 30 17:26:22 IST 2025,AF25GJ182868968,Wed Jul 30 17:26:26 IST 2025,Delivered,701995083002,,,VR-KKX-MUSTARD-3XL,,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158375,Wed Jul 30 17:23:21 IST 2025,SHADOWFAX,SF1830435192AJI,1,Tue Aug 05 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN5197607182,Tue Jul 29 22:27:15 IST 2025,1083626394,5119999885,Wed Jul 30 00:00:00 IST 2025,AJ2613525,Wed Jul 30 17:26:15 IST 2025,AF25GJ182868936,Wed Jul 30 17:26:20 IST 2025,Shipped,701884635005,62114210,ZX--Pink,ZX--Pink-M,100000000125971914,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158446,Wed Jul 30 17:23:20 IST 2025,XPRESSBEES,13670526861335,1,Tue Aug 05 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN4646607608,Tue Jul 29 22:23:51 IST 2025,1083625379,5119999881,Wed Jul 30 00:00:00 IST 2025,AJ2613526,Wed Jul 30 17:26:15 IST 2025,AF25GJ182868937,Wed Jul 30 17:26:20 IST 2025,Delivered,701884635003,62114210,ZX--Pink,ZX--Pink-2XL,100000000125968989,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158445,Wed Jul 30 17:23:20 IST 2025,SHADOWFAX,SF1830434073AJI,1,Tue Aug 05 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
